D_TRADE,N_SECURITY,OPEN_PRC,CLOSE_PRC,LOW_PRC,HIGH_PRC,DVD_YIELD,BOOK_VALUE,PB_RATIO,PE_RATIO,Q_VOLUME,MKT_CAP,ADJUST_FACTOR,TURNOVER,I_MARKET,I_INDUSTRY,I_SECTOR,SENTIMENT_AVG,SENTIMENT_SUM,Baro_Index,Fundamental_Score,Technic_Score,Quant_Score,Total_score,Rank,SET_CLOSE,SET50_CLOSE,SET100_CLOSE,SECTOR_OPEN,SECTOR_CLOSE,SECTOR_LOW,SECTOR_HIGH,SECTOR_YIELD,SECTOR_TURNOVER,SECTOR_MKT_YIELD,SECTOR_MKT_PE,SECTOR_MKT_CAP,SECTOR_MKT_PBV,ORD_IMB,ORD_IMB_R,Q_SHORT,A_SHORT,EBIT,DEPRE,CASH,SH_INV,DEBT,M_NVDR_BUY,M_NVDR_SELL,Q_NVDR_BUY,Q_NVDR_SELL,OPEN_INTEREST,F_Q_VOLUME,NET_SBL_VALUE,TOTAL_NOMINAL_SSF,TOTAL_VALUE_DW_STOCK50_CALL,TOTAL_VALUE_DW_STOCK50_PUT,TOTAL_VALUE_DW_SET50_CALL,TOTAL_VALUE_DW_SET50_PUT,TOP15_NET_NVDR_VALUE,NET_VOLUME_CONTRACTS_SET50_BY_FOREIGN,NET_VALUE_STOCK_BY_FOREIGN
2025-06-17 00:00:00.000,"WACOAL              ",19,18.5,18.5,19.5,3.24000000953674,44.14,0.42,0,1000,2220000000,1,0,A,2,27,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,521.15,527.14,518.19,529.22,3.77,1992936,3.77,14.85,50327081080.68,0.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VS                  ",0,0,0,0,0,0.24,1.73,0,0,105000000,1,0,S,62,70,0,0,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VRANDA              ",4.26,4.36,4.26,4.38,2.86999988555908,5.89,0.74,24.13,45200,1393812089.92,1,0.00999999977648258,A,7,14,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,376.58,384.07,374.65,388.90,2.57,73757236,2.57,17.41,210420106911.85,1.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VPO                 ",0.47,0.46,0.46,0.48,0,0.51,0.9,6.44,195500,432400000,1,0.0199999995529652,A,1,1,-1,-1,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,167.72,167.90,167.13,168.93,6.98,20490656,6.98,7.13,68542041006.17,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VNG                 ",1.97,2,1.97,2,5,4.22,0.47,27.48,8300,3470474960,1,0,A,5,3,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,4622.21,4608.30,4585.50,4642.41,4.60,12273781,4.60,17.66,349572404431.29,0.64,NULL,NULL,2800,5562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VL                  ",0.84,0.85,0.84,0.86,4.71000003814697,0.86,0.98,13.33,78700,1006082537.75,1,0.00999999977648258,S,62,70,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VIH                 ",7.15,7.2,7.1,7.2,3.47000002861023,5.94,1.21,12.85,144500,4383173750.4,1,0.0199999995529652,A,7,13,1,1,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,4459.00,4467.49,4455.32,4514.92,3.40,50145163,3.40,20.93,651436403481.22,2.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VIBHA               ",1.48,1.47,1.47,1.49,3.40000009536743,0.77,1.91,44.17,498700,19956736866.78,1,0,A,7,13,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,4459.00,4467.49,4455.32,4514.92,3.40,50145163,3.40,20.93,651436403481.22,2.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60480,162281,41000,110100,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VGI                 ",2.22,2.22,2.22,2.26,0.589999973773956,1.74,1.28,88.58,13988600,44400000000,1,0.0700000002980232,A,7,10,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,22.01,21.99,21.98,22.32,1.82,127649975,1.82,0.00,111072980007.76,1.11,NULL,NULL,421100,947266,NULL,NULL,NULL,NULL,NULL,13920824,8817814,6215100,3941600,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VCOM                ",2.42,2.44,2.4,2.44,12.3000001907349,1.97,1.24,7.36,46900,749092688,1,0.0199999995529652,S,63,71,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,486,NULL,200,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"VARO                ",4.96,4.96,4.96,4.98,0,9.68,0.51,2.97,2700,495514530.08,1,0,A,4,32,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,17.91,17.97,17.91,18.04,4.56,7663283,4.56,11.48,26904961511.61,0.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"UVAN                ",9.4,9.45,9.4,9.45,10.5799999237061,5.22,1.81,7.27,167400,8883000000,1,0.0199999995529652,A,1,1,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,167.72,167.90,167.13,168.93,6.98,20490656,6.98,7.13,68542041006.17,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104810,39480,11100,4200,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
