ReportingDate,user_id,Instrument,Amount,BuySell,Price,QuotedValue
2025-06-04 00:00:00.000,125999,"TVO                 ",2000.000000,Buy,22.539315,-43400.00
2025-06-04 00:00:00.000,125999,"WHA                 ",16000.000000,Buy,3.137228,-50240.00
2025-06-04 00:00:00.000,126999,"BTG                 ",2000.000000,Buy,24.250375,-45600.00
2025-06-04 00:00:00.000,126999,"COM7                ",2400.000000,Buy,21.158008,-45120.00
2025-06-04 00:00:00.000,126999,"CPF                 ",1800.000000,Buy,25.708439,-45000.00
2025-06-04 00:00:00.000,126999,"HANA                ",2700.000000,Buy,18.149752,-48060.00
2025-06-04 00:00:00.000,126999,"PRM                 ",8200.000000,Buy,5.665517,-47150.00
2025-06-04 00:00:00.000,126999,"STECON              ",6800.000000,Buy,7.398968,-50320.00
2025-06-04 00:00:00.000,126999,"TVO                 ",2000.000000,Buy,22.496695,-43400.00
2025-06-04 00:00:00.000,126999,"WHA                 ",15800.000000,Buy,3.142290,-49612.00
2025-06-04 00:00:00.000,131999,"BTG                 ",2000.000000,Buy,24.246490,-45600.00
2025-06-04 00:00:00.000,131999,"COM7                ",2300.000000,Buy,21.157935,-43240.00
2025-06-04 00:00:00.000,131999,"CPF                 ",1800.000000,Buy,25.734367,-45000.00
2025-06-04 00:00:00.000,131999,"HANA                ",2600.000000,Buy,18.149758,-46280.00
2025-06-04 00:00:00.000,131999,"PRM                 ",7900.000000,Buy,5.655282,-45425.00
2025-06-04 00:00:00.000,131999,"STECON              ",6600.000000,Buy,7.340588,-48840.00
2025-06-04 00:00:00.000,131999,"TVO                 ",1900.000000,Buy,22.512900,-41230.00
2025-06-04 00:00:00.000,131999,"WHA                 ",15400.000000,Buy,3.139259,-48356.00
2025-06-04 00:00:00.000,132999,"BTG                 ",4100.000000,Buy,24.217205,-93480.00
2025-06-04 00:00:00.000,132999,"COM7                ",4900.000000,Buy,21.258212,-92120.00
2025-06-04 00:00:00.000,132999,"CPF                 ",3700.000000,Buy,25.735832,-92500.00
2025-06-04 00:00:00.000,132999,"HANA                ",5400.000000,Buy,18.244465,-96120.00
